City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
Hermanus,ZA,-34.4187,19.2345,63.9,74,11,4.03,few clouds
Tiksi,RU,71.6872,128.8694,39.27,90,100,6.53,overcast clouds
Fort Nelson,CA,58.8053,-122.7002,60.39,63,40,3.44,scattered clouds
Bredasdorp,ZA,-34.5322,20.0403,65.52,59,38,5.97,scattered clouds
Guaymas,MX,27.9333,-110.9,78.89,73,1,0.0,clear sky
Brive-La-Gaillarde,FR,45.25,1.5,78.42,43,87,6.96,overcast clouds
Ribeira Grande,PT,38.5167,-28.7,64.8,52,40,12.66,scattered clouds
Muravlenko,RU,63.7898,74.523,54.28,43,100,16.17,overcast clouds
Portland,US,45.5234,-122.6762,71.55,67,20,1.99,few clouds
Pangai,TO,-19.8,-174.35,72.01,96,100,15.68,very heavy rain
Ulladulla,AU,-35.35,150.4667,55.87,64,100,4.23,overcast clouds
Constitucion,CL,-35.3333,-72.4167,58.28,98,100,5.53,overcast clouds
Nishihara,JP,26.1842,127.7558,76.28,94,90,14.7,light intensity drizzle
Provideniya,RU,64.3833,-173.3,33.01,68,1,11.86,clear sky
Kuytun,RU,54.3419,101.5036,50.56,77,97,7.76,overcast clouds
Laguna,US,38.421,-121.4238,81.95,57,1,3.0,clear sky
Yamada,JP,39.4667,141.95,55.85,92,100,6.62,overcast clouds
Rikitea,PF,-23.1203,-134.9692,71.73,58,61,21.25,broken clouds
Punta Arenas,CL,-53.15,-70.9167,30.31,93,75,1.34,broken clouds
Paamiut,GL,61.994,-49.6678,36.45,85,89,11.88,overcast clouds
Pecos,US,31.4229,-103.4932,68.05,68,1,0.0,clear sky
Kiunga,PG,-6.1219,141.2906,72.68,99,84,2.86,broken clouds
Geraldton,AU,-28.7667,114.6,55.81,94,0,8.59,clear sky
Muyezerskiy,RU,63.9333,31.65,60.22,45,97,8.99,overcast clouds
Grafton,US,42.207,-71.6856,71.74,65,100,1.99,overcast clouds
Ushuaia,AR,-54.8,-68.3,28.06,100,75,5.75,light snow
Urucui,BR,-7.2294,-44.5561,93.4,34,28,8.59,scattered clouds
Kamenka,RU,51.3223,42.7678,60.94,76,100,10.0,overcast clouds
Mahebourg,MU,-20.4081,57.7,70.09,94,75,6.91,moderate rain
Atuona,PF,-9.8,-139.0333,79.48,76,24,15.41,few clouds
Saint-Philippe,RE,-21.3585,55.7679,74.79,78,42,10.22,scattered clouds
Hithadhoo,MV,-0.6,73.0833,84.27,67,100,16.62,overcast clouds
Port Alfred,ZA,-33.5906,26.891,62.89,78,100,19.08,light rain
Virginia Beach,US,36.8529,-75.978,74.05,62,40,4.61,scattered clouds
Saldanha,ZA,-33.0117,17.9442,64.45,78,0,11.63,clear sky
Pingliang,CN,35.5392,106.6861,64.44,69,96,5.84,overcast clouds
Carnarvon,AU,-24.8667,113.6333,53.67,87,78,9.22,broken clouds
Taoudenni,ML,22.6783,-3.9836,114.35,6,48,3.62,scattered clouds
Nyuksenitsa,RU,60.4128,44.2397,55.36,64,100,5.57,overcast clouds
Pitsunda,GE,43.1592,40.3378,68.18,81,100,8.79,overcast clouds
Vaitape,PF,-16.5167,-151.75,79.25,74,71,15.08,broken clouds
Yellowknife,CA,62.456,-114.3525,54.28,71,75,4.61,broken clouds
Zhiryatino,RU,53.2228,33.7306,59.32,64,63,8.88,broken clouds
Torbay,CA,47.6666,-52.7314,70.57,82,90,27.63,light rain
Bonthe,SL,7.5264,-12.505,83.66,68,100,9.44,overcast clouds
Campeche,MX,19.0,-90.5,86.95,50,52,5.21,broken clouds
Busselton,AU,-33.65,115.3333,56.05,73,89,5.55,overcast clouds
Yulara,AU,-25.2406,130.9889,62.44,55,75,9.22,broken clouds
Bilibino,RU,68.0546,166.4372,50.63,56,10,1.03,clear sky
Jamestown,US,42.097,-79.2353,65.3,59,20,10.36,few clouds
Albany,US,42.6001,-73.9662,70.3,64,100,1.01,overcast clouds
Eldorado,BR,-23.7869,-54.2836,73.62,65,13,6.31,few clouds
Nikolskoye,RU,59.7035,30.7861,64.29,47,97,7.27,overcast clouds
Katsuura,JP,35.1333,140.3,69.12,83,41,8.57,scattered clouds
Hasaki,JP,35.7333,140.8333,61.29,78,37,7.58,scattered clouds
Raudeberg,NO,61.9875,5.1352,73.0,62,12,3.6,few clouds
Bluff,NZ,-46.6,168.3333,49.62,82,99,19.84,overcast clouds
San Quintin,MX,30.4833,-115.95,62.01,79,25,5.3,scattered clouds
Dukat,RU,62.55,155.55,33.04,79,34,4.34,scattered clouds
Oktyabrskiy,RU,54.4815,53.471,60.31,86,99,9.71,overcast clouds
Alice Springs,AU,-23.7,133.8833,63.95,25,76,3.96,broken clouds
Mataura,NZ,-46.1927,168.8643,39.43,92,100,3.29,overcast clouds
Sorong,ID,-0.8833,131.25,78.85,88,88,5.93,overcast clouds
Cap-Aux-Meules,CA,47.3821,-61.8597,48.25,100,90,19.57,overcast clouds
Hobart,AU,-42.8794,147.3294,55.06,65,90,3.0,overcast clouds
San Ramon De La Nueva Oran,AR,-23.1322,-64.326,70.43,42,0,2.75,clear sky
Sandpoint,US,48.2766,-116.5533,69.71,60,1,0.0,clear sky
Puerto Ayora,EC,-0.7393,-90.3518,76.96,90,91,8.01,overcast clouds
Rosignol,GY,6.2833,-57.5333,78.24,92,94,6.06,overcast clouds
Gat,IL,31.61,34.7642,83.39,46,0,15.17,clear sky
Sao Filipe,CV,14.8961,-24.4956,74.53,75,99,9.08,overcast clouds
Sandy Bay,AU,-42.913,147.3532,55.09,65,90,5.01,overcast clouds
Pati,ID,-6.7559,111.038,77.07,91,48,1.66,scattered clouds
Vaini,TO,-21.2,-175.2,69.96,100,90,4.61,moderate rain
Safita,SY,34.8205,36.1153,76.51,56,0,16.51,clear sky
Cherskiy,RU,68.75,161.3,54.66,43,9,3.0,clear sky
Linhares,BR,-19.3911,-40.0722,86.47,48,87,3.22,overcast clouds
Krasnovishersk,RU,60.4078,57.082,56.89,46,56,5.1,broken clouds
Khatanga,RU,71.9667,102.5,35.04,85,100,12.62,overcast clouds
Chuy,UY,-33.6971,-53.4616,63.59,54,87,13.11,overcast clouds
Sadu,RO,45.6667,24.1833,53.92,82,75,2.75,broken clouds
Berlevag,NO,70.8578,29.0864,49.8,81,75,16.11,broken clouds
Vuktyl,RU,63.8567,57.3094,47.75,32,52,12.12,broken clouds
Paro,BT,27.4305,89.4133,59.43,95,73,1.72,broken clouds
New Norfolk,AU,-42.7826,147.0587,54.72,70,74,3.18,broken clouds
Acapulco,MX,16.8634,-99.8901,85.73,66,100,2.95,overcast clouds
Inhambane,MZ,-23.865,35.3833,77.0,78,40,8.99,light rain
Necochea,AR,-38.5473,-58.7368,60.04,64,100,14.74,overcast clouds
Marathon,US,44.9,-89.7668,65.8,80,20,3.94,few clouds
Castro,BR,-24.7911,-50.0119,65.52,64,3,3.76,clear sky
Jalu,LY,29.0331,21.5482,93.38,17,0,14.76,clear sky
Hirara,JP,24.8,125.2833,79.92,88,86,14.56,overcast clouds
Kaitangata,NZ,-46.2817,169.8464,46.92,68,90,7.94,overcast clouds
