City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Ornskoldsvik,SE,2021-05-31 22:14:42,63.2909,18.7153,46.22,87,100,4.32
1,Atasu,KZ,2021-05-31 22:14:42,48.6814,71.6433,68.59,49,84,6.71
2,Albany,US,2021-05-31 22:13:44,42.6001,-73.9662,68.31,60,66,6.62
3,Vardo,NO,2021-05-31 22:14:43,70.3705,31.1107,41.2,86,100,13.11
4,Russkaya Polyana,UA,2021-05-31 22:14:43,49.417,31.9201,48.52,76,100,11.25
5,Sistranda,NO,2021-05-31 22:14:43,63.7256,8.834,49.96,89,100,14.76
6,Busselton,AU,2021-05-31 22:09:47,-33.65,115.3333,51.08,89,51,7.96
7,Port Hardy,CA,2021-05-31 22:14:45,50.6996,-127.4199,61.59,77,100,3.56
8,Port Elizabeth,ZA,2021-05-31 22:14:23,-33.918,25.5701,51.1,79,21,13.27
9,Kapaa,US,2021-05-31 22:14:16,22.0752,-159.319,85.12,73,90,1.01
10,Norman Wells,CA,2021-05-31 22:14:45,65.282,-126.8329,63.77,49,64,3.51
11,Avarua,CK,2021-05-31 22:14:46,-21.2078,-159.775,78.85,57,20,10.36
12,Dikson,RU,2021-05-31 22:10:23,73.5069,80.5464,28.65,91,100,16.22
13,Rocha,UY,2021-05-31 22:14:13,-34.4833,-54.3333,54.61,73,59,9.19
14,Matamoros,MX,2021-05-31 22:14:46,25.5333,-103.25,96.91,26,75,4.03
15,Bestobe,KZ,2021-05-31 22:14:47,52.4994,73.0975,64.92,76,26,1.7
16,Qaanaaq,GL,2021-05-31 22:14:18,77.484,-69.3632,33.49,88,100,2.24
17,Port Hedland,AU,2021-05-31 22:14:47,-20.3167,118.5667,66.25,45,40,11.5
18,Atuona,PF,2021-05-31 22:09:58,-9.8,-139.0333,79.03,70,96,9.33
19,Shingu,JP,2021-05-31 22:14:48,33.7333,135.9833,64.9,58,92,4.38
20,Bredasdorp,ZA,2021-05-31 22:14:48,-34.5322,20.0403,54.28,87,3,7.34
21,Jamestown,US,2021-05-31 22:12:02,42.097,-79.2353,69.3,40,1,3.0
22,Saskylakh,RU,2021-05-31 22:14:28,71.9167,114.0833,44.29,95,100,14.29
23,Rikitea,PF,2021-05-31 22:14:26,-23.1203,-134.9692,74.23,65,20,16.55
24,San Isidro,PE,2021-05-31 22:14:49,-12.1167,-77.05,64.26,90,90,7.47
25,Murray Bridge,AU,2021-05-31 22:14:50,-35.1167,139.2667,59.85,45,97,9.78
26,Formiga,BR,2021-05-31 22:14:50,-20.4644,-45.4264,61.9,95,85,5.1
27,Fortuna Foothills,US,2021-05-31 22:14:50,32.6578,-114.4119,99.7,13,1,1.99
28,Hermanus,ZA,2021-05-31 22:14:51,-34.4187,19.2345,54.9,81,20,5.59
29,Khatanga,RU,2021-05-31 22:14:27,71.9667,102.5,34.81,83,79,12.06
30,Mataura,NZ,2021-05-31 22:14:51,-46.1927,168.8643,41.58,93,58,2.28
31,Puerto Ayora,EC,2021-05-31 22:10:42,-0.7393,-90.3518,80.56,87,43,7.0
32,Ribeira Grande,PT,2021-05-31 22:14:52,38.5167,-28.7,61.16,74,68,19.04
33,Vaini,TO,2021-05-31 22:14:22,-21.2,-175.2,71.76,94,90,0.0
34,Batagay,RU,2021-05-31 22:12:14,67.6333,134.6333,49.05,79,100,2.42
35,New Norfolk,AU,2021-05-31 22:14:20,-42.7826,147.0587,51.93,72,100,3.0
36,Griffith,US,2021-05-31 22:14:53,41.5284,-87.4237,68.99,48,75,3.0
37,Praia,CV,2021-05-31 22:14:20,14.9215,-23.5087,73.94,73,75,5.75
38,Berdigestyakh,RU,2021-05-31 22:14:54,62.0989,126.6992,59.25,40,65,3.87
39,Hanyang,CN,2021-05-31 22:14:54,32.1371,105.5126,67.24,74,100,5.77
40,Ushuaia,AR,2021-05-31 22:10:24,-54.8,-68.3,29.86,100,75,4.61
41,Tazovskiy,RU,2021-05-31 22:14:55,67.4667,78.7,32.9,73,7,8.37
42,Acapulco,MX,2021-05-31 22:13:42,16.8634,-99.8901,89.42,66,40,8.1
43,Yulara,AU,2021-05-31 22:14:40,-25.2406,130.9889,57.04,41,90,3.44
44,Chuy,UY,2021-05-31 22:11:20,-33.6971,-53.4616,55.27,70,24,9.66
45,Taoudenni,ML,2021-05-31 22:14:55,22.6783,-3.9836,102.85,9,59,6.58
46,Samarai,PG,2021-05-31 22:14:56,-10.6167,150.6667,78.8,74,78,18.3
47,Kodiak,US,2021-05-31 22:14:56,57.79,-152.4072,47.71,87,90,16.11
48,Manitouwadge,CA,2021-05-31 22:14:57,49.1215,-85.8403,47.12,67,61,6.49
49,Werota,ET,2021-05-31 22:14:57,11.9167,37.7,72.41,32,19,3.85
50,Hobart,AU,2021-05-31 22:13:07,-42.8794,147.3294,52.27,66,0,5.01
51,Baruun-Urt,MN,2021-05-31 22:14:58,46.6806,113.2792,38.52,58,20,9.8
52,Tukrah,LY,2021-05-31 22:12:01,32.5341,20.5791,68.72,81,8,4.0
53,Port Alfred,ZA,2021-05-31 22:14:53,-33.5906,26.891,60.08,81,96,11.27
54,La Palma,US,2021-05-31 22:14:59,33.8464,-118.0467,94.33,62,1,8.01
55,Dubti,ET,2021-05-31 22:14:59,11.7361,41.0853,94.08,22,15,5.35
56,Serta,PT,2021-05-31 22:14:59,39.8085,-8.0988,63.79,96,3,3.2
57,Marsh Harbour,BS,2021-05-31 22:15:00,26.5412,-77.0636,78.91,76,82,13.31
58,East London,ZA,2021-05-31 22:10:03,-33.0153,27.9116,60.19,80,77,10.8
59,Asau,RO,2021-05-31 22:15:00,46.4333,26.4,54.75,95,100,5.73
60,Cidreira,BR,2021-05-31 22:15:00,-30.1811,-50.2056,54.84,61,26,7.36
